Addresses,Azuki Count,Punks
0x4bbb41F61fFfc1Bbe65a2aa192C65281E16eA758,1,50
0xE5859cbc7a5C954D33480E67266c2bbc919a966e,1,1
0xA9995648fCAC5b970cd25E141Da08C6E0a063fc8,1,1
0x225558706370bef1760C52e76a07BE9c104c98aa,1,1
0x9C2EcD52e83A5fF9d0c981570A9C6eA044483410,1,1
0xfCE761b176cf360354C92b0eFA89cDE18cC00C7d,1,1
0xd266c194E126D4FCFC85E8c665ED7f668f6aAe93,1,1
0xA4d07c23F28A1eb1ae471e530c3f5e0038d282F2,1,1
0x3c2B4bDCD2F742C55186fc599Cb733a127E2b8ab,1,1
0x7B640407513Bc16167ef3450FD6339803982e976,1,1
0x6ABc0b05B554212A6bcDc10F6Bff26017D5ADbb0,1,5
0x38A4D889a1979133FbC1D58F970f0953E3715c26,1,2
0xEd3C3BFfCF147850406d0E58Ce4f4Ebd2b5Cd96C,1,2
0x8b3477Ca7445ec524dd534fA4A596C993E93675a,1,1
0x79B5259dc0Fcb44f9751Bf9f78f5ef46A7958460,1,1
0x658Dd79a72f982BBA6178539e6669c1518A370e4,1,2
0xe2B1081Dc27703F36b444665254b0BDa0eE9ed27,1,1
0x1e32a859d69dde58d03820F8f138C99B688D132F,1,1
0x47398F188D7d6044a9285B99dE908e2695E8992C,1,1
0xBfd8cba6a1E10e1Ab4Fa11A0062F4e52e13D260f,1,1
0x00493aA44BCfd6F0c2EcC7F8B154e4fB352d1c81,1,1
0xB664cCF0fB0990EacEDb5232f1f413C403b9cB23,1,1
0x1d00ff1416cF4eD1CEAAe24Bfddf8e4997bC3507,1,9
0x7c901D78bA68B5be8368c2305f3b270Bf93C4CED,1,1
0x7EFa4D250881d7A19bB34586f96388BD28646D97,1,1
0xc31580f521cDFB5257Da385021a67C4919594Db6,1,1
0x69e2757D41D1504706D9814694C71BeAb88b3561,1,1
0x123Be94bCA3e5aE858039112D14C1c740a3989f9,1,1
0xD760eF23c9A203BD3718E91fc08b412Ed49C5846,1,1
0x2604fb7B2c561D6a277a0EC8c2308A26CEe18272,1,1
0x3042887F97821EC36BE64D2677EFd2e943A4Cb0F,1,5
0x7b3C14D0C232C31281D9A59C88B5Bb2535cF149B,1,1
0x12F8dEE62D483B9D641C6a6A77E2DcADc14615e6,1,2
0x01076E09dCB258c16537670307F9bDCED007BF37,1,1
0x8C0A11eb047c1097c821C159b8e0C2C5f37F81Bf,1,1
0xaC3B04591aeb4AB599c09207cbfafbab53d9074F,1,2
0x49432B32f26486135E56cc92DB68360B8A78657E,1,1
0x5A8413DfEFB75899c93eA5A6152Eb5aFe01A956E,1,1
