Addresses,BAYC,Azuki Count
0x737eC3AE4A8B1F9f623DAc5817b9be9F457a6EF6,2,1
0x69E22fBb1e95c26C39fE445bd60cA219C91ef7Ff,2,1
0xFA04FcCCDc6EAcea794Aa59F9b0027aB744bE3F6,2,1
0xdEfBb4e3AC96dA6AaAde47621ac5cB7dBB94AF79,2,16
0x1d00ff1416cF4eD1CEAAe24Bfddf8e4997bC3507,2,1
0x703229Ec1005fba3108883b8A094EA206FC1E161,2,9
0xB12f1F37767D19d63cA5a9889Da95cb396c957eB,2,24
0x09dbC4a902199bbe7F7eC29B3714731786F2E878,2,1
0x8E87d8Aa61795339Cbb0f081a76B7074016b4568,1,1
0xa69f62A2e45baA788B1063E34b9ceaa0cDF693be,1,1
0xED8B0BF8f7185F3665fd5757755277A19bAb8FF8,1,1
0xB88194f9bCC5Ec80CF80C163ca2b123917468793,1,13
0x35Be1881da519B5e93Cdce127dC5ec2Dbe875Df1,1,1
0x5da0E30b11F2b5F609F484512fd5aFFDD721644D,1,1
0xC2B39a520d5088aFDa4Fdeac32DbA62516Ed6119,1,4
0x2924196a2Ec71ea4AE1B1357381EcCdCEe6C18f2,1,1
0x6E404D8eBf475e196E0581Df3B5C1D43478ad40C,1,4
0xE7Bc49FCd5ce7aDFfBf34aB0ca8Cd818C87ae89C,1,2
0xdEe0075b89869CC40135468E861DEc990bb4aD6e,1,10
0x1984EDf70973E1389548F21cD0DCb15b408240c9,1,2
0x60Cd04af655806bCdE85964a78543Def2d40aAAF,1,5
0xe16c0E1Bf3B75F67E83C9e47B9c0Eb8Bf1B99CCd,1,4
0xe53ebe8DED621A3e5a1789Bbd2605378F8591C87,1,3
0x7EFa4D250881d7A19bB34586f96388BD28646D97,1,1
0xA490A0346808dDA91aea6698cB19e4697D9fc5cc,1,1
0x8447e981341dd44F7a6CAF26e6452d3fb12d8592,1,2
0x1EfC22A134A410fEd4439c1B11B010dbEb8bD5D3,1,1
0xA421887C6596d3CbabA4dda15d6Cbf28B46005d3,1,2
0xeB4cbE5cd9C29e6acE6af4D5FC62c81d37DC52f1,1,5
0x9451F0eF7a6BbBB6466B69cA19b7944D7Bb836fd,1,3
