Addresses,Cool_Cats,Azuki Count
0x66Af4d4f0a18E95a804CFC3852ff6F54d8BF2867,2,2
0x0743882fa09A0c257B18d53dC1B101d3F32a04E5,2,12
0x1406bDD2F2A18BfeeC422420646c5b9bAc26Da96,2,1
0x53831c17c99E3fd128fA356FE2037fE26A0ae156,2,1
0x779a7EE0d32122E82E46ebdd4B993e2192D66369,2,1
0xEAAe7Db5b77Fc228BaCbF58B787E4FF0885b146e,2,1
0x0aFeC308fdFD86cC54Df29903A43736f06BD398C,2,1
0x0C2DE53b7f4520AFD3F92ac793943CF90fbCFe13,2,10
0x20b38b163765c3a9afEF81781F06cae22Fef3290,2,1
0x186baD94057591918c3265C4Ddb12874324BE8Ac,2,2
0x8dBb75c576B71B43eea54398F8606aeC530181dc,2,1
0x90859216cFA0A4F99df9Ad561778Fe726181619C,2,1
0x6e9559a4d5B64c207C58C18f6be70D662bA07e57,2,3
0xd96a36cBf430C3f2aabFeF5B0D3778f36D0b1A62,2,6
0xD5983C209Dc35D429bBcC37b734951A798f3D154,2,3
0xBaA7dAC724D6AB7474aF7625811f8ca2e972D541,2,5
0xBfd8cba6a1E10e1Ab4Fa11A0062F4e52e13D260f,2,1
0x123Be94bCA3e5aE858039112D14C1c740a3989f9,2,1
0x1f7Cc5f5DB829494B974698963654Df26DBBF4d2,2,1
0xe6563194F9BAA6E3064086A98bF73608Fc17cbfd,2,3
0x9bE313209Be2Bf005942D4DDBaFecECDe5F18b30,2,2
0xb6aD61B7558c718269a9129Bd9eD9839d88A126A,2,3
0x6be55C75d61ECaaB7eDf7791C087858269760383,2,12
0x89Eb5eB43C500A6CFB6ed803c268A7E9fc676770,2,1
0x5481f217cE19e22179CCf2Ce919c2d9a648B2dE4,2,2
0x7c1fD4d5aCc15b46729c5Fb9279B49Cf71178654,2,1
0xeb9072F14a376Bf6D4Bf9D0aE6C13EB30dD11681,2,2
0xabF9984f06799C7D9378628e31136B321D159318,2,2
0xA9995648fCAC5b970cd25E141Da08C6E0a063fc8,2,1
0xc61f14DD2fEdBBa6414Ed0F2e3036d50f7919379,2,2
0xD8CbcFFe51B0364C50d6a0Ac947A61e3118d10D6,2,3
0x1B8d42f0451bc9077E58b1681AbD874f174F376C,2,3
0x410730C2f459ac1c679124043F9FD2531A5EBbFB,1,1
0x5b2d08539b3317fae2DB93706D709d859c6103D5,1,1
0x1Df7717323BA37C856773Af5EC70aF5c100dA7dc,1,7
0xaf469C4a0914938e6149CF621c54FB4b1EC0c202,1,1
0x3635B3d38B971ED37b17E6E1Ac685Af87bc8d930,1,1
0x7b2e2b01b349c99Bd245EbE75399e31F3a3ff9ab,1,1
0x49185F385b83332bda127B46e48d186083Ab4988,1,1
